"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(ElectroPuls (0,1) Waveform)","Position(ElectroPuls (0,1):Position) (mm)","Load(ElectroPuls (0,1):Load) (N)","Displacement(ElectroPuls (0,1):Digital Position) (mm)",
184,184,1,1,1,1,-9.85804504995865,3.44910565763712,-5.92360617796967,
188,188,1,1,1,1,-9.52909179149043,3.48833133466542,-5.59850367694547,
192,192,1,1,1,1,-9.19997313013681,3.52970301173627,-5.27347136038897,
196,196,1,1,1,1,-8.87232342521941,3.56497173197567,-4.94970504646008,
200,200,1,1,1,1,-8.54257176255305,3.59383202157915,-4.6249945949784,
204,204,1,1,1,1,-8.21227650553902,3.63609683699906,-4.29882502182423,
208,208,1,1,1,1,-7.88340907775728,3.66973993368447,-3.97357589337706,
212,212,1,1,1,1,-7.55396944539903,3.69923398829997,-3.64688865389423,
216,216,1,1,1,1,-7.22398308944935,3.73868341557682,-3.32070745783459,
220,220,1,1,1,1,-6.894305634564,3.77714750356972,-2.99271934700772,
224,224,1,1,1,1,-6.56611322936858,3.80517751909792,-2.66477482207641,
228,228,1,1,1,1,-6.23690158477129,3.83973214775324,-2.3348852486166,
232,232,1,1,1,1,-5.9072938673187,3.87638667598367,-2.00456898041525,
236,236,1,1,1,1,-5.57680906753871,3.90945374965668,-1.67214918983955,
240,240,1,1,1,1,-5.24881961615402,3.93844908103347,-1.34200793577263,
244,244,1,1,2,1,-5.00116142882129,3.95169295370579,-1.09218598770997,
244,0,1,1,2,1,-5.00116142882129,3.95169295370579,-1.09218598770997,
248,4,1,1,2,1,-5.00068801894121,3.9161266759038,-1.09215771275721,
252,8,1,1,2,1,-5.00037107125001,3.88691853731871,-1.09215771275721,
256,12,1,1,2,1,-5.00074613346851,3.87412332929671,-1.09215771275721,
260,16,1,1,2,1,-5.00075865044362,3.86262778192759,-1.09215771275721,
264,20,1,1,2,1,-5.00070813550835,3.8457396440208,-1.09215771275721,
268,24,1,1,2,1,-5.00056687250353,3.83659894578159,-1.09215771275721,
